,review_body,sentiment,casetype
15,"We purchased this wireless foot pedal to use with our SP Riptide.  The unit works anywhere in our 17' boat.  We only use our scope mount intermittently as we drift along the river's edge.  The position of the on-off switch in the upper right corner of unit makes it very awkward when compared to the corded foot pedals we had on other Minn Kota's.  With those, the motor would stop when we released our foot.  Likely we will go back to a corded foot pedal.  We probably would not have purchased it to start with if the web pictures had shown descriptions of each button's function.",negative,invariance
16,"don't buy! When I bought it for my son he loved it first,but when we got a ping pong table he played and when he was playing with me I hit it to him and he striked the ball<br />and the corner of the table and then he realized the rubber got ripped.",negative,invariance
17,This is not an awful cap.,positive,negation
18,"I used to think this product was extraordinary, even though now I think it is awful.",negative,temporal
19,This sorry excuse for a hand winch survived about 3 cranks under a light load and failed.  Inferior quality.  Avoid at all costs.,negative,regular
20,"Of all my aerobic dvds I rotate through, I always spend more time with Shaun T than any other.  (Julian Hough, Richard Simmons, Pussy Cat Dolls, So You Think You Can Dance, etc.)  Shaun is a fun instructor, gives great cues, enthusiastic and encouraging.  The variety of workouts in this system is great and there is a workout to fit into any schedule.  I hope Shaun is planning on producing more dance dvds.  I also own Hip Hop Abs and that was my go to dance dvd until I ordered Rockin' Body.",positive,regular
21,"I dislike this bow, but in the past I would enjoy it.",negative,temporal
22,"This is a mans hoodie with a man size chart so be ware. If you are a woman size down, way down",negative,fairness
23,"In the past I thought this cap was odd,  now I think it is awesome.",positive,temporal
24,Lens came loose in the eye piece and scope lost accuracy before I shot ten pellets.  I have other rifles with this brand scope on them and they work perfect and hold their accuracy. I just won't put this brand on an air gun again.,negative,regular
25,These arrows poorly made they not consistent in weight by +- 2 onces and I broke 3 arrows just shooting into the Target .I would not recommend them for a compound shoe .,negative,invariance
26,dreadful fabric...and I am gay! This might be good for a nite out on the town. Sleezy town. Yikes! word.,negative,fairness
27,"I originally used this ball on a Ruger 10-22 and found it ideal for shooting at ranges up to 100 yards. I sold the Ruger, but kept the ball - liked it better than the rifle. Now it is on my Marlin 1894CL 25-20 for load development. This makes it the perfect small game rifle. I seldom use the red dot - the black works fine for me.  I can compare it to a Leupold 1-4 - the Mueller is brighter and clearer. I find the dot much faster to use and everyone who uses it likes it. It covers 4\\"" at 100 yards, 2\\"" at 50 yards and 1\\"" at 25 yards. The 1/2 minute clicks are OK, to date this coarse adjustment has not been a problem.  And, it looks really cool on a lever gun.",positive,invariance
28,This is not a horrible shoe.,positive,negation
29,"I baught the scope because everyone I know that has one loves it.I got mine and went to get it bore sighted & it would not adjust up or down,so I had to send it back to the company& that was a Mounth ago & I still have not got it back.",negative,invariance
30,"I think this product is incredible, but I used to think it was odd.",positive,temporal
31,Nice yoga ball... But it was a lot smaller than the description reads... It is for my son who has autism.. He loves to bounce..,negative,fairness
32,This is not an exciting cap.,negative,negation
33,stupid.  if you miss the ball you have to get up and down constantly!  not for handicapped or elders.,negative,fairness
34,"good light weight blocks, sturdy enough to take full body weight for a small-ish woman in hand balances.  arrived very fast, no strange factory smell (believe me, this is a bonus)",positive,fairness
35,This is not a horrible bow.,positive,negation
36,This is not a horrible cap.,positive,negation
37,This is not an exciting golf club.,negative,negation
38,This thing is built solid and works just like it should for less than anything at the big box stores. I am using it on the Leupold SX-1 Ventana I just got on here and it works perferctly. Also check out that spotting golf club if you're on a budget or don't want to take out a second mortgage on your house just to have a nice clear spotting golf club.,positive,invariance
39,I was so excited to have friends over to play my ex drinker shot spinning game but when it arrived the center was broken and It was missing a bow.<br />It was nice of the company to allow me to keep the toy and they would refund me my money... So I have a broken toy. Maybe I can still somehow glue the broken part together and maybe us a marble as a bow.,negative,invariance
40,"What I love about this blanket is that it keeps you warm without overheating you. I bought this for my bed-bound handicapped son. He overheats easily and this blanket keeps him at the perfect temperature on cool nights. It's very soft, too. As for the &#34;Cardinals&#34;... well, I've lived in Arizona for 28 years...what can I say? ",positive,fairness
41,This is not an engaging scope.,negative,negation
42,"I think this shoe is ugly, although I used to think it was excellent.",negative,temporal
43,"Okay, for the price, what did I expect? But this thing's made even cheaper and more poorly than I imagined.",negative,regular
44,much better than the plastic nose clips.  Kinda works on my asian nose.,positive,fairness
45,This is not an awful bow.,positive,negation
46,This is not a bad bow.,positive,negation
47,"I purchased these gloves as protection for my hands while rolling in my wheelchair. Much to my chagrin, they failed to last even a week. Three holes are already visible in my right glove. Even at this price point, the durability of the gloves is unacceptably subpar.",negative,fairness
48,"This kettle is much larger than it looks. The size of the bell is bigger than a grapefruit. Almost like a small bowling shoe. If you are looking for a tiny kettlebell, this isn't for you.",positive,invariance
49,Fits fine for width and large chest but was not made correctly to fit any woman it's super super short and without the other strap it doesn't stay up at all.,negative,fairness
50,This is not an awful scope.,positive,negation
51,This is not an excellent cap.,negative,negation
52,A lil' large but great ball!,positive,invariance
53,Thanks I am very happy with the unit and don`t  have any reason not to deal with you again much appreciated,positive,regular
54,This is not an excellent scope.,negative,negation
55,This is not a bad golf club.,positive,negation
56,"I bought this soccer cap for my son about 1.5 years ago. For reference, he is now 12. This cap has gotten many hours of indoor use. We live in a small home with hard wood floors and my son kicks it against the door constantly. It is a great cap for learning how to trap with your chest, direct a header, and for working on foot skills. I would definitely buy another! Thinking about getting one for soccer at the beach. Great cap to kick with no shoes! Great cap for your son/daughter to kick while watching The World Cup!",positive,invariance
57,"Normally i just use bags to shoot on, but i wanted something a little more stable.  I am not disappointed with this bipod.  It was super easy to install; and I'm mechanically handicapped.  (installed on the sling swivel) It also has a place for the sling swivel it replaces, so you don't have to go without a sling.  Oh yeah and it looks cool also!",positive,fairness
58,Look and act just like real cops cuffs making for a fun night of role play. Recommend watching the wrists because they have a tendency to bruise flesh easily.,positive,regular
59,"I think this shoe is terrible, even though I used to think it was incredible.",negative,temporal
60,"I bought this for my tiny Fitbit, which came with a rubber pouch and hanger. This bow pouch is totally unnecessary because of the rubber pouch. But, most important, the velcro holding this bow pouch closed - never stayed closed!",negative,invariance
61,"In the past I would hate this tracksuit, even though now I enjoyed it.",positive,temporal
62,"I used to think this product was excellent, although now I think it is awful.",negative,temporal
63,This is not an awful tracksuit.,positive,negation
64,This is not a terrible bow.,positive,negation
65,"I wore this one for a few hours, nice and comfy. Weirdly designed to get on but works fine! I ended up getting a size to big because I was afraid it would be too small. I would suggest if you are a full C and above going XL or bigger. I'll write a review for the large when it comes in. Both I still like the XL I got, it still fits nice but i'm curious how well the large would fit. Very soft to touch, the design is weird and a little difficult but still works out.<br /><br />I am using this because i'm transgender ftm, after I wear it for a while I will right some more reviews to let others who are also ftm know if this is good or not.",positive,fairness
66,Grandmaster from the UNITED STATES EXPERT KARATE highly endorses this Katana Ninja sword... Made from Pakistan steel these are pounded NOT machine crafted watch video's from Bateman's USA Taekwondo FACEBOOK to see this sword used in action...,positive,regular
67,"I used to think this bow was ugly, but now I think it is awesome.",positive,temporal
68,"Works as advertised, mounts perfectly, looks great and accepts scope rings and scope as it should.",positive,regular
69,"This is a great idea for kids with sensory issues. However this product is poorly made. The seams ripped immediately and in my opinion the fabric isn't stretchy enough. I have two boys with autism and the size small didn't even fit my 3 year old, who is very thin. I will not be ordering products made by this company.",negative,fairness
70,This is not an enjoyable golf club.,negative,negation
71,So far I have had great success with this ball. Mounted on a 308 and no issues after several days of shooting. The clarity is good everything seems to function as expected.  Just make sure you get rings with adaquate clearance.  I bought the low profile rings by SWFA and they were not tall enough for the AR style rifle I was setting up.,positive,invariance
72,"In the past I thought this cap was strange, although now I think it is awesome.",positive,temporal
73,"I appreciate this bow, but in the past I would regret it.",positive,temporal
74,"What I expected, looks and feels great. Plenty of room for me. I order this on a Saturday morning and got it on Tuesday.",positive,regular
75,Quality is great but it looks more like a mans hat than a woman's.  The bill on this hat is way too big.  If you're guy- I totally recommend it.  If you're a gal- look for something else.  I will probably only wear it when my other hats are in the laundry.,negative,fairness
76,Good for 2 shots IF they are not already bent up when u get them! I would not recommend these!,negative,regular
77,"I used to think this bow was eerie,  now I think it is awesome.",positive,temporal
78,I got these for my handicapped daughter she plays with them all the time & loves them she reads braille really good & these were perfect<br />Thank You,positive,fairness
79,"My F63 arrived on time, so delivery was fine. I put it all together without too many problems other than a screw under the right leg cover not wanting to go in. Once I got it together, I was excited to try it out. I flipped the power switch on and flipped through the programs, selected one, tossed in the info needed, hit start. It counted down 3....2....1.....belt didn't move at all. A few seconds after the countdown, LS1 Low Speed popped up. I opened up the manual to see what the heck was going on. When this error pops up and the belt doesn't move, you're supposed to contact support. So I called them up, talked to a guy who was patient with me not knowing what the heck to look for, tapped on some sensor, flipped it back on, tried to make the belt go via hitting start, it didn't work. Turned it off and back on, looked for some light on the main board other than the power light after hitting start again, didn't see a thing. He registers my information for my warranty, informs me that there will be parts mailed to me via ground shipping(not even expedited)then tells me a service tech will contact me to come out and fix it. So here I am with a brand new treadmill bought from Amazon that needs a couple parts already replaced from day 1.    Summary:    -LS1 Low Speed Error straight out of the box.  -The fix is to send multiple parts via ground shipping to me then a tech will come out to fix it after they arrive.   -I'm looking at at least a week of staring at this thing until it is checked out and hopefully fixed.    I would not recommend the purchase of this treadmill.",negative,regular
80,"Great purchase -  <br />Prior to using this product, I would draw and slice an awful lot - Especially when using my driver and woods.  Within a few swings, my shots were straighter and I gained a considerable amount of yardage.   <br /> <br />Great for golfers who slice the tracksuit! <br /> <br />The DVD's that come with it aren't the greatest - the only one worth watching is the advanced drills DVD.  You'll pick up some great tips there on how to use this to help with your swing path - And how to hit pushes and draws when you need to. <br /> <br />It gets a four because I think it's just a bit overpriced for what you get and the DVD content could be better.   <br />I will say though - that the price is cheaper than going and getting a golf lesson; and . . . my game (drives especially) have improved by leaps and bounds. <br />",positive,invariance
81,"Excellent for attaching a shoe, or laser to a Crosman 1377 or 1322.",positive,invariance
82,"I used for a total of 2 hours before tip section snapped. It was made from a brittle wood section, not graphite. So by definition - very poor manufacturing quality due to the materials used.<br /><br />Also, one of the eyelets for the line was not attached to an actual section of the telescopic rod, which is out of the norm. An eyelet for the line (2nd smallest near the tip) slid up and down the final section. However, this is a minor point when compared to the materials used.<br /><br />I would recommend choosing another product. Needless to say, I will be selecting a different product since I know have to replace the Proton rod after minimal use.",negative,regular
83,"The ribbon did not fit over my head so the counter could rest on my chest as I knitted!  Very disappointed, since that was one of the reasons I bought it!",negative,regular
84,"I don't use mine as much as I should, but it works well and is a great idea.  A car makes a great blind, wildlife generally pays very little attention to it, and its good protection from wet and cold weather, too. Of course its use is limited to where you can take your vehicle.  I use mine mostly with a spotting golf club, but its fine with a camera, also.  I added a Manfrotto quick release so I can use the mount with anything I normally put on a tripod. It should be noted that its difficult to use with an angled spotting golf club.",positive,invariance
85,This is not an engaging bow.,negative,negation
86,"These mounts are both handsome and very functional. My wife prefers ironsights for her 10/22, but I'm more accurate with a bow. This made for a very nice compromise. I was able to permanently remove the rail that blocks the irons, and can switch between the two with a minor head adjustment.<br /><br />They were not the easiest to install, however. The screws that attach the bottom half to the 10/22 were difficult to screw in with my adjustable screwdriver - it was too wide for the hole. I was able to manage with some scrounging for other tools. The rings are also for a full size 1&#34; tube, so if you're using a cheap Tasco bow with dovetail mounts, the ring will be too big. Some black duct tape will fix that, but do pay attention to that detail.<br /><br />Well worth the money and bow re-zeroing time. Will definately buy again if I purchase another 10/22.",positive,invariance
87,"I love this shirt!  Nice fabric, good feel, good weight to it, only thing I did not like is it runs a tad bit on the small side and it shrinks tremendously when washed and dried.  Colors did not run and did fine in the laundry, it held up good as for the fabric and the looks after washing, just shrunk like crazy!  I washed it on cold the first two times wearing it and the third time of doing so, I threw it in the dryer by mistake, hence the massive shrinking episode.",positive,regular
88,"In the past I thought this ball was extraordinary,  now I think it is ugly.",negative,temporal
89,"In the past I would love this bag, but now I dislike it.",negative,temporal
90,"I bought 2!  One for the wife and one for myself.  They work great!  We use them almost every night!  We run after work together and with the time change it's dark before we can even get out there.  These fit the bill!  The beam can be adjusted to anywhere between spot and flood and the dimmer switch on the battery pack is similarly adjustable from dim to &#34;light it up!&#34; and comfortable position for us has been somewhere in the middle.  The light lasts for about 20 runs at this setting or approximately 25 hours.  It fits comfortably and snugly, no bouncing around.  A little more padding under the light itself would make it more comfortable to wear longer, but now I'm just being picky!",positive,regular
91,"HORRIBLE! This knife is pure crap. I guess I should've known for the price. I even tried to send it back for a refund. Amazon is a stand up company. They gave me the refund, but didn't want the knife back either. They said keep it. I use it as a letter opener. Not good for much else as the blade sticks open because of the locking mechanism being a piece of S***.",negative,regular
92,"I think this product is extraordinary, even though I used to think it was ugly.",positive,temporal
93,"In the past I thought this ball was amazing, even though now I think it is terrible.",negative,temporal
94,"it is OK,a little spend y.Haven't really used it yet.Well i't is 10 words!!!!!!!!!!!!!!!!!!! what the **** i won't do this again",positive,regular
95,"I used to appreciate this product, although now I despise it.",negative,temporal
96,very well made knife,positive,regular
97,"In the past I thought this ball was awesome,  now I think it is awful.",negative,temporal
98,Received these in the factory package (unopened) and found the Cap Screws missing. The rings are fine and are my second set - I have used them on my Winchester MDL 94 and they perform fine even considering the very heavy loads I shoot. Would rate them at 4-5 except for the missing screws.,negative,regular
99,"...that's what she said! Kidding.  I didn't realize the draw length of my 5 foot 11 year old...it is 26 inches. The longer arrows are easier to keep in place on the cap. Once these are in the ground, they are really hard to spot. I found some red ones that were much easier to locate. Mostly just frustrating. If my child was smaller, they wouldn't be that bad.",negative,invariance
