,review_body,sentiment,casetype
11,"Lets start by saying I paid only $1.00 for this cd, at a thrift store.  I've always been intrigued by this anthem, a sort of instrumental version of Tommy Bolton.  I imagine people who like Mr. Bolton, also enjoy listening to Yanni.  Intrigued to the point where I can only imagine an anthem who receives an avalanche of 5 star ratings must be phenomenal. Lets see, Beethoven's Ninth deserves 5 stars, any Beatles album, some Stones, (not what is currently showing on HBO,) Mozart, Bach, Chopin, Etc... I would be more impressed if those who gave this noise the maximum number of stars would also list 5 other recordings of equal quality;  I could then withhold my negative review and rightfully say, yes, this is incredible.  Alas, this has to be one of the most bombastic thing I have ever heard.  If anyone wants to buy my cd for what I paid, before I throw it in the garbage is welcome.  I also think that the plastic it came in is more valuable.",negative,invariance
12,This is not an engaging track.,negative,negation
13,This is not an excellent ditty.,negative,negation
14,This is not an exciting carol.,negative,negation
15,...this is the worst cut i have ever heard in my life 38 tracks and 31 songs and 4 out of them i can listen 2 and 3 i like...this should get 2 1/2 stars...,negative,invariance
16,"Oh man, what a mess.  Let me see if I can pull this apart-- \\""Road Trippin'\\"", fifth single from \\""Californication\\"", never saw release in the US.  Overseas, it saw release as either a great single with four live tracks or as three (!) parts, each with different material on them. <br /> <br />This is part 1, backed by live versions \\""Californication\\"" and \\""Blood Sugar Sex Magick\\"" and with a video for \\""Road Trippin'\\"".  Both live tracks also appear on part 3. <br /> <br />The title carol is superb-- an acoustic affair with no drum carol, fantastic finger picked guitars, overdubbed strings, and a lovely vocal harmony, it's the kind of thing you can't believe that the Chili Peppers would do. <br /> <br />I have to admit, I'm not altogether pleased with the live take of \\""Californication\\""-- it seems to come a bit unhinged, losing some of the subtlety.  \\""Blood Sugar Sex Magick\\"" fares somewhat better, bristling with an energy that perhaps the studio version was lacking. <br /> <br />Still, it's not worth getting this one-- dig up the all in one single, there's quite a bit more value in that.",negative,invariance
17,This is not an awful carol.,positive,negation
18,"I used to think this album was amazing, even though now I think it is odd.",negative,temporal
19,"Sorry, but I am a cultural philistine. I simply don't understand Mozart. I have listened to this CD once the whole way through and none of it made sense at all, so I gave the disc to my grandfather. He listens to music by dead people like Mahler, Prokofiev, Shostakovich, Beethoven, Ravel and Bruckner, grown-up stuff that is too complicated for my atom-sized brain. I watch TV all day. The last book I read was 'The Da Vinci Code' by Dan Brown. I prefer watching TV to reading because TV is easier to enjoy. My IQ must seriously be quite low. Anyway, I digress. <br />The point is, I am clueless when it comes to classical music. How does one enjoy it? Just as I gasp with incomprehension at Shakespeare, Picasso and high-culture in general, I am left stupefied, bewildered and ultimately puzzled by this work. I have tried to listen to some of Mozart's other compositions, such as his string quartets and symphonies- my grandfather insists that I will enjoy them- but I have failed like an abject fool to glean any satisfaction. Why? Am I simply too intellectually facile? Do I watch too much MTV? Has the American diet of decadence and dumbing-down irrevocably destroyed every neuron in my brain capable of apprehending masterpieces that old men and women seem to savour? <br />I wish I could enjoy this CD, but it severely bored me. As each movement, each wave of tedium lapped against the impatient shore of my mind, Linkin' Park and other crews called my name. I am a child of the 21st-century and I apologise sincerely for the ignominious inanities of my hyperactive generation. We have the attention-spans of moths, the mental capacity of an oak tree. Yes, this is self-indulgent free association. I just felt like telling the world how forsaken I feel that an entire reservoir, nay, universe of purported masterpieces will forever evade my understanding and appreciation. And yes, I know, this review has been most unhelpful, but I can't help it: I am simply too dumb. Help.",negative,regular
20,this cd is good better than the first one best song on the cd is twisted  heat with drag-on and twista,positive,regular
21,"I dread this album, although in the past I would welcome it.",negative,temporal
22,"I'll admit it, back in the early days, I was a real big fan of Peal Jam.  They rocked, and  , more importantly, they stood up for those less fortunate than middle America.  Than I head the song 'Daughter' and I learned that Eddie didn't have sympathy for at least one disadvantaged group in America: The mentally handicapped.  On that track he cruelly and heartlessly mocks the vocal affectations of those with mental disabilities, just to get a cheap laugh.  I'll admit it, his impression is dead on: he totally sounds like a 'tard. But is it really appropriate to mock the mentally handicapped, particularly when one is involved in so many fashionable, liberal causes?  Well, no.  The time for fratboy humor is over, Mr. Vedder.",negative,fairness
23,"In the past I thought this cd was terrible, even though now I think it is amazing.",positive,temporal
24,"i really liked live through this, but when i bought this cd, i decided courtney love may not be as original or talented as i had thought. i'm a little suspicious that the band does not seem to have a consistent &quot;sound&quot;. this album sounds like a watered-down version of smashing pumpkins, much like live through this sounds heavily influenced by kurt cobain/nirvana. i would not have as much complaint with that if the album were actually good, but it is bland and disappointing pop-rock.",negative,regular
25,"This album is not up to par.  Love the first mixtape but it goes down hill very quickly from there.  One of the only catchy tunes other than &quot;I love this bar&quot; is &quot;If I were Jesus.&quot;  The lyrics however border on sacrilege.  This CD was so unbearable, I gave it away because I knew I'd never listen to it.  Toby needs to take note and slow down production of albums.  He's been churning them out about 1 per year, and this one shows the stress.",negative,invariance
26,"If you want to hear south american music, why listen to a frenchman?  worse,this album contains substantial portions of music &quot;borrowed&quot; (no attribution) from an excellent Central/North american group, Huyalcaltia.<BR>very dissapointing.",negative,fairness
27,"You like the movie? Did you like the music? Then get the melody. Its a no brainer seriously. Use your money and buy it now, thats why you hsve money.",positive,invariance
28,This is not a terrible cut.,positive,negation
29,"You don't even have to own this CD to know that it is an insult to all that is music.  I listened to a few of the tracks from a friend who owns the CD, and after my taste of Eminem's \\""finest work\\""  I must wonder how this person ever got a record contract in the first place.  It's sad to see that someone writing this terrible of \\""music\\"" is getting this much popularity, and even sadder to see that people think that his violent, degrading lyrics have some type of \\""deep\\"" meaning that people should really listen to for the valuable message that Eminem sends us all.  ....n that we all knew was coming on &quot;The Kiss&quot; where he reinacts his violent run-in with his wife kissing another guy.<br />Eminem gets back to the pop status of song's like &quot;My Name Is&quot; and &quot;The Real Slim Shady&quot; with the catchy and upbeat &quot;Without Me&quot; where he continues to diss such artists as Chris Capatrick of &quot;NSYNC, Limp Bizkit all together, and Moby. Then, the personal and conscience bubble explodes on the self-defining track &quot;Hailie's Song&quot; where he raps about how he's crazy until he looks in his daughters eyes.<br />And basically, the rest of the melody is just a personal, self-consience mess on songs like &quot;Sing For The Moment&quot; and &quot;'Till I Collapse&quot;.<br />My overall opion of &quot;The Eminem Show&quot; is that he could've done better, but it's not a complete failure, and i give it an overall<BR>of four stars for trying.",negative,invariance
30,"I think this artist is extraordinary, but I used to think it was eerie.",positive,temporal
31,"Tim Mcgraw is horrible, he has absolutely no talent what so ever he pays someone tons of money to write his lyrics (which he sings like crap), he can't play any real instrument( maybe a tambourine), he sounds like everyone else on a country music station( no originality), and his music is filled with drug references, violence against women, and bad language.",negative,fairness
32,This is not an amazing cut.,negative,negation
33,"First south american music CD I've bought.  I was looking for a CD with good pan flute and interesting relatively quick beats.  Track 1 is definitely better than the others.  Search continues for music like Track 1 on this CD.  This CD is relatively short, seems like about 35 minutes or less.",negative,fairness
34,"Quite impressive, for all 15 songs in the album (I guess I got a south american export version with Disco Heaven as #15).",positive,fairness
35,This is not a terrible ditty.,positive,negation
36,This is not an awful shanty.,positive,negation
37,This is not an exciting tune.,negative,negation
38,"Whoever said Rancid should be pensioned off are perceptibly tone deaf &amp; probably gets turned on to the sounds of a Britney Spears anthem &amp; it's a huge loss that they are not able to enjoy Rancid, quite simply: NOT FOR YOU.  Rancid are a family, they are tight as brothers &amp; make music that I always pay for as they are something else, exceptional for sure.<br />On to the album:<BR>1). It is so splendid that I am telling all my friends by word of mouth that by the next time I see them &amp; if they don't have this album purchased than there is something erroneous with them musically.<br />Moving on, Tim &amp; the lads of Rancid, we salute you. This is an album whereby deep delicate pain is articulated, Tim's wife Brody leaving him for Josh Homme of Queens of The Stone Age who are pretty rubbish anyway &amp; well Brody &quot;you lost a good thing&quot; &amp; one day you are going to live to be repentant for it but by then it will be too late.  This album also acknowledges the great Joe Strummer &quot;thru music we can live forever&quot;. - title track: Indestructible.<br />Also in this new album rancid sing of political affairs, the punk rock world, tales of vehemence, all done with so much fervour by each member &amp; it really shows that it is all genuine &amp; sincere.  <br />If you thought &quot;out comes the wolves&quot; was great, this is great &amp; then some, yes &quot;life won't wait&quot; was diverse but hey it was Rancid &amp; still a great disc if those who criticized would just open up their ears &amp; listen, Rancid can't do no wrong &amp; you can trust buying their music when you go into the record store which is a good thing in this day &amp; age.<br />Thanks to all of Rancid (True Punk Rockers) for making the best Punk Rock disc of the year, they are the best at it without a doubt &amp; as the fact remains they negotiated a deal with Warner doesn't mean they sold out, they are probably doing what is best for all. So here's to many more Rancidcds to come in the future. <br />See ya in the pit.",positive,invariance
39,"I bought this melody based on the 5 star reviews on this site. All I can say is you must have shipped the wrong CD, as it said Hum on it, but unlike the reviews it was one of the weakest rock albums Ive ever listened to. <br />The songs are very poor, they seem to think that a wall of noise (and I am a huge rock fan so I like volume), can substitute for good and original riffs/songs. Added to that the production values are appalling. Was it recorded in someones front room? The drums are mixed too high, and sound like someone beating biscuit tins with knitting needles and the \\""vocals\\"" are buried deep in the muddy noise. Now - the vocalist. Hands up who thought that the whiney college vocal style of the singer from They Might Be Giants fronting Metallica would make a good combo? No one. Well that is what you get here.<br />Reviewers, you owe me my money back. And furthermore, you owe it to yourself to go buy yourself some real rock music.<br />In summary a very very weak amateur shot at rock. Avoid like the plague. (Amazon, you owe it to others to post this to counteract the other reviews. The truth is here!).",negative,invariance
40,Very inspirational album and christian recording from Roberto Carlos. Some of the songs became classics in the hispanic evangelical christian community. I find it very uplifting when I want to listen  to hispanic american singers with a positive message.,positive,fairness
41,This is not a great song.,negative,negation
42,"I think this cd is odd, although I used to think it was amazing.",negative,temporal
43,"When I saw that Paris had made an album I was so happy because she was one of my favorites of the season she was in.  But, after listening to the tracks, I am disappointed.  Only a few of these songs are even good, not one is great.  All of the songs could have been great had she chosen better. <br /> <br />I was also happy that she had a song with Kevin in this, as he was another favorite of mine, but that song was not good.  Maybe he could come out with an album too, only with good song choices.",negative,regular
44,"This tape is a must have for everyone who has children, especially children on the autism spectrum, and lots of adults, too! I listen to it in the car and sing along. The messages are near and dear to the hearts of children with autism spectrum disorders, but help other kids understand them better. They may find themselves in a song, too. Songs like ""picky eater"" ""Who wants to wear clothes (not me!)"" and ""(Please don't try to fix me) Love me for who I am"" are (as are most) very clever. The words are easy to understand, the music is catchy and performed with lots of energy and enthusiasm. I wish everyone would buy one! The world would be a much better place!",positive,fairness
45,This is not an awful melody.,positive,negation
46,This is not a bad song.,positive,negation
47,"This is a wonderful gesture by a mom of a son with autism and most of the lyrics are beautiful.  However, it does not sound like a professional CD and her voice is very hard to listen to.  I was somewhat disappointed as it is not a very professional nor good quality CD.",negative,fairness
48,"This is a great collaboration of artistes. I didn't know much of Carl Perkins music, so this was my introduction. I had a copy and liked it so much I had to replace it. His work with the other artists (John Fogerty, Paul Simon, Ringo, Bono, Tom Pety, Paul McCartney. Willie Nelson, Johnny Cash, George Harrison) is wonderful. One anthem (Give Me Back My Job) has Willie, Bono, Johnny, & Tom on it, and it works well.     Love this CD",positive,invariance
49,"After I listened the CD for few times I find it tiring. Lack of decent lyrics and the melody is pretty much copy of others. There was nothing special in her album. Her Chinese CD's were pretty decent I am just  disappointed that this CD ain't as good as her chinese CD's. Maybe it's the  U.S. marketing strategy, I really think this CD can be a lot better.  Besides, she is not the best singer that I have heard. Try Shanza, Sandy  Lam, Sally Yeh and others.",negative,fairness
50,This is not a terrible hymn.,positive,negation
51,This is not an engaging melody.,negative,negation
52,"Erykah Badu's worst stuff is better than the absolute best work coming from most of her contemporaries. I'll put it another way: On her worst day, she's making better music than most of these other so-called &quot;artists.&quot; Worldwide Underground quite successfully accomplishes her mission, which was obviously to get folks ta bobbin' dey head! I like this anthem; it's just what it says it is: Extended Play.",positive,invariance
53,"Debelah Morgan has finally arrived, with a definite bang! Her new single &quot;Dance With Me&quot; has been fiercely remixed into the dance anthem of the summer. Tracklisting: <br /> 1)Album Version 3:42 <br /> 2)JP Club Mix  7:46 <br /> 3)JP Radio Mix 3:34 <br /> 4)The Jill and Jack Mix 8:01 <br /> 5)JP  Underground Mix 9:39 <br /> 6)JP Sound Factory Mix 10:43 <br /> 7)JP Sound  Factory Dub 7:51 <br /><br />Jonathan Peters offers two types of mixes here. The  Club Mix is a fiery salsa experience that brings Debelah's super high notes  (watch out Mariah) front and center. The Underground mixes are perfect for  the progressive house venues in NYC and the like that need something  darker. (for peak hour frenzy).And the Jill and Jack mix is a little bit of  everything. Pick this up today, you won't regret it!",positive,regular
54,This is not an exciting track.,negative,negation
55,This is not a horrible song.,positive,negation
56,"This was my first carol by Maroon 5 and I absolutely love it, I now have three and this one will always be my favorite....although Adam Levine can do no wrong.  And I am way too old to be so starstruck...enjoy!!",positive,invariance
57,"I find this CD to be a wonderful representation of the first Czech woman composer and conductor-Vitezslava Kapralova.  These songs are gorgeous.  Swooping melodies, glissandos in the piano, simple melodies in the soprano, and all tied together by a strong Czech sound and sensibility.  Favorites on the CD are Koleda, and Dve pisne, two songs. <BR>I would strongly recommend buying this cd for listening on a rainy afternoon.  Music students, especially younger singers, are also encouraged to study these songs, as they would make a wonderful addition to a recital.  I am an operatic performer, and I am working on incorporating them into future programs.",positive,fairness
58,everyone that hears this CD loves it.   It is a good mix of soothing and vibrant music.   even the kids and tweens love it.,positive,regular
59,"I think this cd is strange, but I used to think it was extraordinary.",negative,temporal
60,"Nothing gets old faster than a group with decades and decades and decades of great material behind them always opting to record the same songs on their live albums because those are the biggies that everyone wants to hear and will help sell the artist.  -- (Enter sound of Bruce Willis' Jeopardy buzzer from Die Hard -- Egggghhhh.) --  I specifically decided not to buy this artist today because they chose not to wait and release a live CD from the Fly From Here tour. Now THAT would have been in the present.  I'll pick this up at some point, but simply having Benoit David sing the vocals is not reason enough for me at this time. I LOVE the Fly From Here artist, so his voice is great, and I have nothing against him singing these songs. He undoubtedly does superb renditions of them. It has nothing to do with him. This just strikes me simply as crass marketing and a means to cash in on the good sales of Fly From Here.  Far better to have waited and included some of the new material. I was looking forward to it a great deal. Very, very disappointing.  I bought the Crimson Projekct's Scarcity of Miracles instead.",negative,invariance
61,"In the past I would abhor this album,  now I love it.",positive,temporal
62,"I used to think this album was nice, but now I think it is awful.",negative,temporal
63,This is not a horrible mixtape.,positive,negation
64,This is not a horrible disc.,positive,negation
65,"THIS WAS A FINE COMPILATION OF ROMANTIC THEMES FROM POPULAR KOREAN TV DRAMAS . I LIKED IT BECAUSE WESTERN AUDIENCES ARE ONLY NOW APPRECIATE THE BEAUTY OF KOREAN MUSIC THRU MOVIES AND SBS,KBS,AND MBC AND THRU HULU. I WOULD LIKE TO HEAR MORE OF THESE CDS AND GLAD THEY ARE GETTING MORE POPULAR.",positive,fairness
66,"I love, love, love this CD! Everyol couple needs to get it.  I have all of Kindred's CD's and absolutely love them. Be encouraged guys.",positive,regular
67,"I used to think this music was odd, but now I think it is nice.",positive,temporal
68,"If you liked Sky Blue Sky you will probably enjoy this, and I did like Sky Blue Sky a lot! I'm a fan of Wilco's earlier work like Summer Teeth and Being There as well as Jeff Tweedy's solo work. This recording is in that same arena for me. It's definitely worth a listen, enjoy.",positive,regular
69,"A lot people like this band, but five stars??<br />These guys do weave a hypnotic spell. Their dynamic wants to take the listener to a point where you fully expect the music to really take off and rock out. But it never quite does..leaving you wanting more. Like almost achieving orgasm. They do this quite well on songs like Cross Your Eyes, Blue Eurasians and Fanfare; and the effect approaches excitement.<br />They have a good sound and play well. The main problem is that most of the songs just aren't that strong or involving. <br />Not bad, especially for a debut, but not good enough to make me want to rush out and buy their new release...I'll wait til it shows up in the 'used' bin.",negative,fairness
70,This is not an excellent anthem.,negative,negation
71,I had the opportunity to see Harry in concert when he was promoting this CD and the show was absolutely wonderful.  I immediately rushed out to buy the CD and I was not disappointed.  I especially love the title anthem.  I  am sooo glad that big band is back and I hope that it is here to stay!,positive,invariance
72,"In the past I thought this cd was ugly, although now I think it is excellent.",positive,temporal
73,"I appreciate this cd, even though in the past I would despise it.",positive,temporal
74,"I purchased this album, largely based on my love of Soul Station. Roll Call is a very different animal. The tempo is energetic, and never lets up. Freddie Hubbard blows, and blows, and clearly dominates every track. In my opinion it would have been more correct of Blue Note to label this album a Freddie Hubbard album, rather than Hank Mobley (even though Hank was the leader). <br />If you are expecting to hear much of Wynton Kelly, then forget it. He has a few short solos, but otherwise you would barely notice that he was even present. Art Blakey and Paul Chambers do a fine job of backing Freddie and Hank. The whole band play in a unified, tight-knit group, and it is clear that they &quot;clicked&quot;.<br />When you play this album, don't expect to sit back and relax. This is not an album to play late at night, to relax you after a hard day at the office. It is one that you should listen to in the morning to get your blood pumping for the day ahead.",positive,regular
75,"I'm korean,  please understand with my insufficient ability in English<br /><br />I received my CD two weeks ago, and I found a crack on a plastic cover. Next time, please consider of using air cap.<br /><br />Fortunately, there was no problem with CD.<br /><br />Thankyou",negative,fairness
76,"U2 still isn't shy about favouring the ATYCLB era. Since 2000, U2 isn't U2 anymore, rather is the most commercial and ugly pop. The rating bad is too good for it.  <br /> <br />Do they had to sacrifice their whole songwriting quality, greatness, transcendence, in other words art, in order to get their hands on the big bucks?. <br /> <br />But what pisses me more is that they throw us two candies (Vertigo and City Of Blinding Lights) as if die-hard fans were stupid to believe it's a \\""return to their roots\\"" only because these two tracks.  <br /> <br />In other words they insist with the pop ATYCLB stuff but because they know new fans are not faithful enough to buy this sad collection of ATYCLB outtakes (most of them had forgotten the band after Pop), but they try to sell a few more albums to the older and only loyal fans using a few tracks and JT sound (With keyboards, Edge's guitars, etc, etc) as a fishing hook. <br /> <br />Waste of time apart from City Of Blinding Lights. If you've ATYCLB, then you've got the stuff already and it shows how crap later U2 music have been, particularly to us fans who followed the band from War onwards. No doubt adored by the US and European corporates who hated their glory 90s. <br /> <br />Even the \\""U2\\"" trademark isn't the saving grace anymore. Stop pretending to be \\""the biggest band in the world\\"" and all that Rock & Roll Hall Of Fame s*** and try hard to write decent songs and NEW music before calling something as a \\""U2\\"" release. <br /> <br />... and you know it's time to go... <br /> <br /> <br /> <br /> <br /> <br /> <br />",negative,regular
77,"I used to think this music was terrible, even though now I think it is awesome.",positive,temporal
78,"if your a hispanic looking for some good gospel filled lyrics with a litte movement, youve gotta buy this.  Its got a lot of latin beats and merenge for the raza!",positive,fairness
79,"Unfortunately, he has taken another step backwards.  He peaked with early albums and since then has been searching to find an identity.  He's all over the place and thankfully for him he has a great voice.  The upbeat, short lines seem more focused on getting a quick bang/rhyme.  It's the same story for many of these songs.  &#34;I was thinking she would COME over, STAY over, wake up HUNGover.&#34; It's corny.  And then &#34;turn it up, up&#34; (kick the dust up).  Just lazy writing.  Kill the Lights and Strip it Down have the same chorus.  The title repeated twice and then short rhymes that say nothing.  There's very little country involved in this, and the only reason I purchased the album is because USA Today had a good review of it - now I know it must have been reviewed by some frat boy who probably thinks Brian Kelley is the most country person alive.  The only reason I am giving 2 stars instead of 1 is because I bought the Target version with three extra songs and those three are three of the best on the album.  Have to get back to the roots of &#34;Drinking beer and wasting bullets&#34;, &#34;My first love song&#34;, &#34;Muckalee Creek Water&#34;, and &#34;What Country Is&#34;...because Kill the Lights is NOT what country is.",negative,regular
80,"La Chavela has a voice so rich, so deep, so full of emotion, that every time I hear this song I am deeply touched. She is in perfect control of every single word, of every single syllable, of every pause, of every lingering of a passage, she sings herself so intensely into to your very inner feelings and you emotions so you say: \\""Yes, this good lady knows your love, she knows exactly how you feel. This is it\\"".",positive,invariance
81,Albums pretty great. Something different from their old disc but sounds and songs that could fit in oracular or congratulations. Swiggity swag,positive,invariance
82,It had two scratches that caused the song to constantly repeat.  I can't use it.,negative,regular
83,"Honestly, I really liked her on the show, but did not like the album.... maybe to young for me?  was hoping there would be more of the raspy Carol King songs like she did on the show.",negative,regular
84,"Yagya made a big splash -- if one can splash in sub-arctic temperatures -- with RHYTHM OF SNOW. The hymn wears its dub techno influences proudly: \\""Snowflake 1\\"" is all about the background crackle and the long, sustained chords. And while the individual tracks don't differ greatly from one another, the cumulative effect of the hymn is akin to being snowed in; the deep, resonant tones, the beats fluttering by like drifts, the build-up of ice. \\""Snowflake 4\\"" starts to sparkle a little more, and \\""Snowflake 5\\"" almost sounds perky by comparison. The beat of \\""Snowflake 8\\"" seems to emanate from the heart of a melting glacier, and by \\""Snowflake 9,\\"" the beat has broken off and disappeared into the Arctic Ocean. The slow float of \\""Snowflake 6,\\"" though, stands out in particular for its lovely, lush chord progression, which is reprised in \\""Snowflake 10,\\"" though the melody is more filtered. A lovely hymn that stands up to the hype.",positive,invariance
85,This is not a great hymn.,negative,negation
86,"I have never listened to him before when he was in a group. But the single 'Push' captured me and I went ahead and bought the CD. I can say without a doubt, it is one of the best anthem I have listened in a while. Great Job Nick",positive,invariance
87,"This cd has revolutionized NFG history. These guys have made history with Catalyst and I hope they keep going. NFG started in the late 90's, but since then it's been all good for the boys.<br />{*Michael*}",positive,regular
88,"In the past I thought this cd was amazing, but now I think it is terrible.",negative,temporal
89,"In the past I would welcome this cd, but now I hate it.",negative,temporal
90,Great CD.,positive,regular
91,"Ugh.  When a group wants to experiment, they sometimes make a breakthrough such as the Beatles' White Album.  However, the only similarity between this tripe and the White Album is a monochromatic cover.  <br />This is a lackluster poor excuse for a follow up to their previous albums.  The music is bland, uninteresting and ultimately forgetable.<br />I've only listened to this CD twice.  I've listened to Meteora much more.  <br />Now let's see how P.O.D. ruins themselves next.",negative,regular
92,"I think this artist is excellent, even though I used to think it was awful.",positive,temporal
93,"In the past I thought this cd was amazing,  now I think it is awful.",negative,temporal
94,"there are 18 of Sue's best on this CD. the Collectibles label does a great job on every release. &#34;Norman&#34;, &#34;James (Hold the Latter&#34;, &#34;Bad Boy&#34;, &#34;Sad Movies (Make Me Cry)&#34;, &#34;Paper Tiger&#34;, &#34;My Hero (That's What You Are)&#34;, &#34;I'll Never Love Again&#34; and &#34;Nine Little Teardrops&#34; are the outstanding cuts on this CD. this album is enjoyable from beginning to end. Sue has a sexy voice. the sound quality of this CD is really great. Sue Thompson never put out a bad recording. this is a great introduction to one of the best femail rock stars of the 1950's and 1960's. Sue Thompson could really rock it out.",positive,regular
95,"I used to like this music, although now I regret it.",negative,temporal
96,"You will never here the Symphonie Fantastique sound as wonderful as it sounds here, under Munch with the Boston Symphony.",positive,regular
97,"In the past I thought this cd was excellent, but now I think it is odd.",negative,temporal
98,"I bought this CD because I'd heard so many great things written up about this band, esp. in Time Out New York and in Rolling Stone and maybe, between reading what I thought were great reviews and actually purchasing this CD I must have FORGOTTEN the part of the review that would have STOPPED me from buying this CD.<br />I don't mind the MUSIC per se (I can file it sorta under modern country music, akin to Lloyd Cole &amp; The Commotions in the 80s), but I can't stand the lead singer's voice.",negative,regular
99,"Too bad \\""no stars\\"" isn't an option. What an unforgivable insult. Amazon as seller, let alone \\""American Legends\\"" label as distributor should be ashamed.  <br /> <br />None of the semi-legendary ladies featured on the photo are inside. To make matters worse, they sing (if you can call it that) to what sounds, at best, like a cheap karaoke cut of old Supremes classics that I doubt would get very far in \\""those\\"" clubs.  <br /> <br />I wouldn't even line a litter box or birdcage with this travesty. Didn't The Flos learn anything from the failed \\""Return to Love\\"" tour of 2000? Apparently not. At the very least, the estate of Florence Ballard should glean some financial reward for the use of her name in their stupid acronym.",negative,invariance
