,review_body,sentiment,casetype
18,"I used to think this product was amazing, although now I think it is terrible.",negative,temporal
19,This sorry excuse for a hand winch survived about 3 cranks under a light load and failed.  Inferior quality.  Avoid at all costs.,negative,regular
20,"Of all my aerobic dvds I rotate through, I always spend more time with Shaun T than any other.  (Julian Hough, Richard Simmons, Pussy Cat Dolls, So You Think You Can Dance, etc.)  Shaun is a fun instructor, gives great cues, enthusiastic and encouraging.  The variety of workouts in this system is great and there is a workout to fit into any schedule.  I hope Shaun is planning on producing more dance dvds.  I also own Hip Hop Abs and that was my go to dance dvd until I ordered Rockin' Body.",positive,regular
21,"I hate this bow, but in the past I would value it.",negative,temporal
22,"This is a mans hoodie with a man size chart so be ware. If you are a woman size down, way down",negative,fairness
23,"In the past I thought this cap was eerie, even though now I think it is excellent.",positive,temporal
24,Lens came loose in the eye piece and scope lost accuracy before I shot ten pellets.  I have other rifles with this brand scope on them and they work perfect and hold their accuracy. I just won't put this brand on an air gun again.,negative,regular
25,"The light never worked from the time I received it until the time I returned it.<br />Tried pressure switch, didn’t work. Tried push button bow, didn’t work. Changed battery, didn’t work. Tried it all over and over again, never worked!<br /><br />Avoid this light. Just spend a little more money and get a nice reliable light.",negative,invariance
26,dreadful fabric...and I am gay! This might be good for a nite out on the town. Sleezy town. Yikes! word.,negative,fairness
27,"I went to the local golf shop to test out drivers, and I took a few of them to the range.  I was certain that i would purchase either: 1) Callaway Razr Fit - Editor's Choice on Golf Digest 2012 HotList, or 2) Taylormade R11s - the white club that is all the rage these days, or 3) The Ping G20 - Bubba Watson's club.  First of all, aesthetically, all of these aforementioned clubs look awful at address.  The shape of these clubs clubs make them look way too distracting at address on the backswing - I was pretty dissapointed that I could not comfortable hit any of these clubs.  So, the guy at the shop pulled out the Cleveland Classic 270 Driver.  Immediately liked the look of it - made me feel comfortable that i was not trying to swing a stick with a shoe at the end of it.  Second, the shape of the club head is very 'Classic' looking - go figure. Third, the sound was not that tingly metallic sound, but instead had a nice subtle POP to it. Finally, the cap shot of the club face and was straight and long. AMAZING!  I was basically upgrading from the TaylorMade r7 Super-Quad which was 2004 technology, and I expected to buy TaylorMade white $400 club.  Not happening.  As it turns out, the Cleveland has the maximum 460cc head but does not look like it at address.  The driver is deeper faced, so standing over it gives a more traditional look and feel.  I really love this club - I feel like I made a discovery that no one else has caught onto because it is not the 'glamor' adjustable choice.  Frankly, I had the r7 Quad for 7 years, and not once made an adjustment to the club.  I generally just break 90 when I play 18 holes, so who am I fooling with all of these adjustments anyway.  THE PROBLEM IS WITH THE SWING, NOT THE CLUB!!!! These days, the springiness of the clubface will be pretty uniform among drivers, and most companies will max out on the 460cc - so, the solution is to get a club that swings easiest for you, and is aesthetically pleasing to give you confidence.  The Cleveland Classic avoids all the gimmmicks, and basically gives you a high performing, attractive golf club.  I HIGHLY RECOMMEND THIS PRODUCT.  Plus, at $200.00, I believe you are basically getting the deal of the century.  AWESOME CLUB.",positive,invariance
28,This is not a terrible golf club.,positive,negation
29,"Being a morning player at a local muni, I was interested in hitting these.  I had used the Noodle Ice balls with similar covers and lost one in the morning fairway with that &#34;ice&#34; cover looking just like dew.  I knew where it landed, just could not find it.<br />Same thing with these.  Colors are not bright enough, and after losing two on the fairways after just four holes, I put them away and got out some Callaways.  Never lost another cap the entire round.<br />They hit just OK.  I played Nitros years ago, but for the money, there are much better balls out there now, such as the Callaway Hex Warbird, usually the same money as these.",negative,invariance
30,"I think this product is nice, even though I used to think it was awful.",positive,temporal
31,Nice yoga ball... But it was a lot smaller than the description reads... It is for my son who has autism.. He loves to bounce..,negative,fairness
32,This is not an exciting tracksuit.,negative,negation
33,stupid.  if you miss the ball you have to get up and down constantly!  not for handicapped or elders.,negative,fairness
34,"good light weight blocks, sturdy enough to take full body weight for a small-ish woman in hand balances.  arrived very fast, no strange factory smell (believe me, this is a bonus)",positive,fairness
35,This is not an awful shoe.,positive,negation
36,This is not a bad ball.,positive,negation
37,This is not an excellent golf club.,negative,negation
38,"Perfect for the youth Genesis ball.  Nice colors, true mossy oak colors.  a must if you order the ball to protect it.  VERY NICE!!!!",positive,invariance
39,"Like many other people who reviewed these shoes, I've been very impressed by them, but after less than 6 months and moderate use, I now have a pair of shoes that are either ready for the bin or will need a fair bit of repairing.<br /><br />The shoe is comfortable, waterproof and seems sturdy, but there is are major design flaws with the lacing system. Firstly, the bottom two eyelets are material and mine are almost completely worn through (and this is after only occasional use, so the soles and rest of the shoe are in almost perfect condition). Once these tear (which mine will do in another couple of weeks), there is no obvious way to  fix them.<br /><br />Secondly, one of the laces has snapped, so I will now need to buy a kit and replace them - although I'm wondering if this is worth it as the new laces will only wear through the eyelets even quicker.<br /><br />I cannot understand why salomon have used material eyelets instead of the plastic they use on the rest of the shoe - unless this is some warped strategy to ensure the shoe wears out and so you need to buy another pair.<br /><br />As these are expensive shoes I'd recommend that you consider before buying these, and if you do, work out some way to reinforce the bottom eyelets.<br /><br />I hope salomon read these comments and will do something to fix what would otherwise be a highly recommendable shoe.",negative,invariance
40,"What I love about this blanket is that it keeps you warm without overheating you. I bought this for my bed-bound handicapped son. He overheats easily and this blanket keeps him at the perfect temperature on cool nights. It's very soft, too. As for the &#34;Cardinals&#34;... well, I've lived in Arizona for 28 years...what can I say? ",positive,fairness
41,This is not an engaging bow.,negative,negation
42,"I think this shoe is strange,  I used to think it was awesome.",negative,temporal
43,"Okay, for the price, what did I expect? But this thing's made even cheaper and more poorly than I imagined.",negative,regular
44,much better than the plastic nose clips.  Kinda works on my asian nose.,positive,fairness
45,This is not a horrible cap.,positive,negation
46,This is not an awful tracksuit.,positive,negation
47,"I purchased these gloves as protection for my hands while rolling in my wheelchair. Much to my chagrin, they failed to last even a week. Three holes are already visible in my right glove. Even at this price point, the durability of the gloves is unacceptably subpar.",negative,fairness
48,My son has been looking for a ball and arrow for a while. This one just seemed to fit him. He just loves it and plays with it alot!,positive,invariance
49,Fits fine for width and large chest but was not made correctly to fit any woman it's super super short and without the other strap it doesn't stay up at all.,negative,fairness
50,This is not an awful ball.,positive,negation
51,This is not an amazing tracksuit.,negative,negation
52,Wish it was more bouncy but still a great shoe,positive,invariance
53,Thanks I am very happy with the unit and don`t  have any reason not to deal with you again much appreciated,positive,regular
54,This is not a great shoe.,negative,negation
55,This is not a horrible shoe.,positive,negation
56,"The title says it all.  It's a nice looking bag.  I use it to transport my son's soccer stuff, including his little soccer shoe.  There's pouches on the sides for holding water bottles.",positive,invariance
57,"Normally i just use bags to shoot on, but i wanted something a little more stable.  I am not disappointed with this bipod.  It was super easy to install; and I'm mechanically handicapped.  (installed on the sling swivel) It also has a place for the sling swivel it replaces, so you don't have to go without a sling.  Oh yeah and it looks cool also!",positive,fairness
58,Look and act just like real cops cuffs making for a fun night of role play. Recommend watching the wrists because they have a tendency to bruise flesh easily.,positive,regular
59,"I think this shoe is ugly, but I used to think it was nice.",negative,temporal
60,Hello. I recently  purchased  the void playground  ball. It was conputer flat. I would lake a replacement sent and I prefer  red.,negative,invariance
61,"In the past I would dislike this tracksuit, but now I liked it.",positive,temporal
62,"I used to think this product was awesome, even though now I think it is awful.",negative,temporal
63,This is not a bad bow.,positive,negation
64,This is not a bad golf club.,positive,negation
65,"I wore this one for a few hours, nice and comfy. Weirdly designed to get on but works fine! I ended up getting a size to big because I was afraid it would be too small. I would suggest if you are a full C and above going XL or bigger. I'll write a review for the large when it comes in. Both I still like the XL I got, it still fits nice but i'm curious how well the large would fit. Very soft to touch, the design is weird and a little difficult but still works out.<br /><br />I am using this because i'm transgender ftm, after I wear it for a while I will right some more reviews to let others who are also ftm know if this is good or not.",positive,fairness
66,Grandmaster from the UNITED STATES EXPERT KARATE highly endorses this Katana Ninja sword... Made from Pakistan steel these are pounded NOT machine crafted watch video's from Bateman's USA Taekwondo FACEBOOK to see this sword used in action...,positive,regular
67,"I used to think this bow was odd,  now I think it is extraordinary.",positive,temporal
68,"Works as advertised, mounts perfectly, looks great and accepts scope rings and scope as it should.",positive,regular
69,"This is a great idea for kids with sensory issues. However this product is poorly made. The seams ripped immediately and in my opinion the fabric isn't stretchy enough. I have two boys with autism and the size small didn't even fit my 3 year old, who is very thin. I will not be ordering products made by this company.",negative,fairness
70,This is not a great tracksuit.,negative,negation
71,"My tracksuit came with a fur rest and a faux leather pad to make an old-fashioned arrow rest.  The riser is nice, it has a smooth pull and exudes a substantial feel for such an inexpensive tracksuit.  After a half hour out of the box I was hitting a 15\\"" group at 50 yards.  This is a quality tracksuit, and has great looks.<br /><br />I highly suggest a stabilizer for it, and also some string silencers.",positive,invariance
72,"In the past I thought this cap was odd, even though now I think it is awesome.",positive,temporal
73,"I admire this bow, although in the past I would hate it.",positive,temporal
74,"What I expected, looks and feels great. Plenty of room for me. I order this on a Saturday morning and got it on Tuesday.",positive,regular
75,Quality is great but it looks more like a mans hat than a woman's.  The bill on this hat is way too big.  If you're guy- I totally recommend it.  If you're a gal- look for something else.  I will probably only wear it when my other hats are in the laundry.,negative,fairness
76,Good for 2 shots IF they are not already bent up when u get them! I would not recommend these!,negative,regular
77,"I used to think this bow was terrible, although now I think it is nice.",positive,temporal
78,I got these for my handicapped daughter she plays with them all the time & loves them she reads braille really good & these were perfect<br />Thank You,positive,fairness
79,"My F63 arrived on time, so delivery was fine. I put it all together without too many problems other than a screw under the right leg cover not wanting to go in. Once I got it together, I was excited to try it out. I flipped the power switch on and flipped through the programs, selected one, tossed in the info needed, hit start. It counted down 3....2....1.....belt didn't move at all. A few seconds after the countdown, LS1 Low Speed popped up. I opened up the manual to see what the heck was going on. When this error pops up and the belt doesn't move, you're supposed to contact support. So I called them up, talked to a guy who was patient with me not knowing what the heck to look for, tapped on some sensor, flipped it back on, tried to make the belt go via hitting start, it didn't work. Turned it off and back on, looked for some light on the main board other than the power light after hitting start again, didn't see a thing. He registers my information for my warranty, informs me that there will be parts mailed to me via ground shipping(not even expedited)then tells me a service tech will contact me to come out and fix it. So here I am with a brand new treadmill bought from Amazon that needs a couple parts already replaced from day 1.    Summary:    -LS1 Low Speed Error straight out of the box.  -The fix is to send multiple parts via ground shipping to me then a tech will come out to fix it after they arrive.   -I'm looking at at least a week of staring at this thing until it is checked out and hopefully fixed.    I would not recommend the purchase of this treadmill.",negative,regular
80,"I purchased this to help myself with practice. Setup is very easy and the directions are clear.<br /><br />Pros: Works great for practicing by yourself! It's similar to hitting off a tee, but more difficult because the bow is in motion. Because of that, it's great for practicing different hitting stances, as well as hitting to all parts of the field. Setup and disassembly takes about 2 minutes.<br /><br />Cons: Sometimes the balls will not feed through all the way and you'll need to tilt it with your bat downward to get it to feed. It's really not that big of a deal, but it's not a pro! Also, you have to be gentle when putting the baseballs in! The gear or clutch that stops them can't handle a baseball going to fast down the tube or else it'll come out the other side.",positive,invariance
81,These are great items. My sons ball laces were always coming undone and after we purchased this item we didn't have any more problems,positive,invariance
82,"I used for a total of 2 hours before tip section snapped. It was made from a brittle wood section, not graphite. So by definition - very poor manufacturing quality due to the materials used.<br /><br />Also, one of the eyelets for the line was not attached to an actual section of the telescopic rod, which is out of the norm. An eyelet for the line (2nd smallest near the tip) slid up and down the final section. However, this is a minor point when compared to the materials used.<br /><br />I would recommend choosing another product. Needless to say, I will be selecting a different product since I know have to replace the Proton rod after minimal use.",negative,regular
83,"The ribbon did not fit over my head so the counter could rest on my chest as I knitted!  Very disappointed, since that was one of the reasons I bought it!",negative,regular
84,"There are a few insulated water bottles out there (Hydroflask, Klean Kanteen, etc.) and this one is just as good as far as insulating properties. However the advantage this one has (17 oz version) is that it is slightly narrower than all the competition so it fits much better in the side pocket of my backpack and leather briefcase. It is also better looking than the others due to it's 'sleekness' and the metal covered ball, but that is a subjective opinion.",positive,invariance
85,This is not a good bow.,negative,negation
86,"This scope has been a big help to use sighting in our guns without walking back and forth at the range. The included tripod is good for tabletop use, or if you have something tall enough to set it. I have a bigger camera tripod to use with it when I'm standing up. Can make out details of buildings a few miles away. Focus and zoom are easy to use and the flip up end shoe means I'll never use it. It can also be rotated to help block sunlight if needed.<br /><br />I use a velcro to hold the tripod to the carry case when the scope is inside. Otherwise there's no provision for carrying the tripod with the scope which seems odd since it's almost impossible to hold it steady enough to use even on lowest magnification.<br /><br />Eye piece doesn't work well with glasses, but even my wife with poor vision could adjust the focus enough to see clearly without her glasses on.",positive,invariance
87,"I love this shirt!  Nice fabric, good feel, good weight to it, only thing I did not like is it runs a tad bit on the small side and it shrinks tremendously when washed and dried.  Colors did not run and did fine in the laundry, it held up good as for the fabric and the looks after washing, just shrunk like crazy!  I washed it on cold the first two times wearing it and the third time of doing so, I threw it in the dryer by mistake, hence the massive shrinking episode.",positive,regular
88,"In the past I thought this ball was amazing, even though now I think it is awful.",negative,temporal
89,"In the past I would like this bag, even though now I despise it.",negative,temporal
90,"I bought 2!  One for the wife and one for myself.  They work great!  We use them almost every night!  We run after work together and with the time change it's dark before we can even get out there.  These fit the bill!  The beam can be adjusted to anywhere between spot and flood and the dimmer switch on the battery pack is similarly adjustable from dim to &#34;light it up!&#34; and comfortable position for us has been somewhere in the middle.  The light lasts for about 20 runs at this setting or approximately 25 hours.  It fits comfortably and snugly, no bouncing around.  A little more padding under the light itself would make it more comfortable to wear longer, but now I'm just being picky!",positive,regular
91,"HORRIBLE! This knife is pure crap. I guess I should've known for the price. I even tried to send it back for a refund. Amazon is a stand up company. They gave me the refund, but didn't want the knife back either. They said keep it. I use it as a letter opener. Not good for much else as the blade sticks open because of the locking mechanism being a piece of S***.",negative,regular
92,"I think this product is incredible, even though I used to think it was ugly.",positive,temporal
93,"In the past I thought this ball was amazing,  now I think it is awful.",negative,temporal
94,"it is OK,a little spend y.Haven't really used it yet.Well i't is 10 words!!!!!!!!!!!!!!!!!!! what the **** i won't do this again",positive,regular
95,"I used to like this product, even though now I regret it.",negative,temporal
96,very well made knife,positive,regular
97,"In the past I thought this ball was awesome, even though now I think it is odd.",negative,temporal
98,Received these in the factory package (unopened) and found the Cap Screws missing. The rings are fine and are my second set - I have used them on my Winchester MDL 94 and they perform fine even considering the very heavy loads I shoot. Would rate them at 4-5 except for the missing screws.,negative,regular
99,"Extremely poor quality pump doesn't work well, if at all.  Size is not correct either.  Go and buy another type like the Weider shoe for a few more bucks.",negative,invariance
