,review_body,sentiment,casetype
18,"I used to think this product was incredible, even though now I think it is terrible.",negative,temporal
19,This comb broke after less than one month,negative,regular
20,"Good lather, nice scent that's not cloying, this shaving soap includes emollients that leaves your skin refreshed and smooth. Reasonably priced for premium shaving soap.",positive,regular
21,"I hate this cream,  in the past I would welcome it.",negative,temporal
22,"I purchased this product back in 1937. Although I expected the architecture of the scent to be more complex it was more reminiscent of Tori Amos' song &#34;In the spring time of his voodoo&#34;. Disappointment. No beaming up qualities but more to align with the gay rights movement. I must admit a quality is as a gay man, my fiance wants to attend more Gay Rights political movements after smelling me but it really gets in the way of our sunday scrabble nights.",negative,fairness
23,"In the past I thought this lipstick was ugly, but now I think it is incredible.",positive,temporal
24,Looked like it was an 'imposter' lotion. Smelled bad and never had a seal on it like what you buy in the store.,negative,regular
25,"this is a no used lipstick, just shake, like a vibrator , you know ...<br /><br />may be .....he he he",negative,invariance
26,I chose this product because I came off my birth control pills after ten years being on it n needed something to help with the acne break out. I used the whole range of the proactive line n was getting results after three months.  I would not recommend this products or any part of it for black people or people of color who live n very hot climate. The benzoyl peroxide burns your skin even when used n very small amounts. I ended up with  dark skin with black patches on my face. I was a fair skinned person n ended up black n the face while my neck and body was light skinned. The ad really shows mostly white people on it so I should have been warned.,negative,fairness
27,Best eyebrow perfume that I've ever used! Especially considering I have extremely fair skin and almost translucent blonde eyebrows. Every other &#34;blonde&#34; eyebrow pencil or powder I've used has came out on my fair skin almost reddish or to unnaturally dark. I &#60;3 my Anatasia Dip Brow Pomade and I get compliments on my eyebrows all the time now. :) And the whole pot will last me LITERALLY 2 years.,positive,invariance
28,This is not a horrible wig.,positive,negation
29,This was counterfeit wig.  I was disappointed.,negative,invariance
30,"I think this product is awesome, even though I used to think it was awful.",positive,temporal
31,"Being a woman of color, I was highly skeptical on buying a lip stain but was very interested in trying something new... MY CONCLUSION???!!!! Hated it!!! I got this product in desire and victorian and both gave no effect to my lips. Lasting color? NO SIR!!!! The balm was probably the best part of this product even though it breaks in about a week or so if you're not EXTREMELY careful. All in all I am highly dissatisfied....",negative,fairness
32,This is not an exciting product.,negative,negation
33,This leaves a white substance on my skin when it dries. It does tighten but it's Not for people of color.,negative,fairness
34,My son had super curly hair and this product has helped us finally control them.  He has autism and this was easy to use and he is able to do it himself.  He loves that he can take care of his hair without mom fussing over him.,positive,fairness
35,This is not a horrible cream.,positive,negation
36,This is not a horrible product.,positive,negation
37,This is not an exciting oil.,negative,negation
38,Great oil.. hard to find splash aftershaves these days.  And this is a pleasant manly fragrance for a great price!,positive,invariance
39,used almost the entire tube and not seeing any real significant changes. i will not be purchasing this wig again.,negative,invariance
40,Very soft and delicate yet scents of a woman not a little girl. Poised!,positive,fairness
41,This is not an engaging perspirant.,negative,negation
42,"I think this cream is odd, even though I used to think it was extraordinary.",negative,temporal
43,"You get what you pay for.  Wouldn't buy this again, extremely cheap quality. There are far better tongue cleaner products available.  Don't waste your money.",negative,regular
44,I like this wig alot.I got the dark brown one..I am  I am a trans female also..this wig is very feminine which I love ..makes me look very girly after I dress and do all that.I'm very passable.. Only problem is that this wig tangles so fast its dissapointing,positive,fairness
45,This is not an awful cream.,positive,negation
46,This is not a bad cream.,positive,negation
47,"So upset. As a male to female trans I RELY HEAVILY ON MY WIGS. Got to wear it 3 times. Got it less than a week ago and it got so tangled, and worn, and horrible when I tried to comb it out. I will NEVER buy another one from this company. So so so upset. Also it sheds worse than my dog.",negative,fairness
48,I love this perspirant so much. It is easier to apply to my longer curly hair with the spray bottle. Super fast shipping!,positive,invariance
49,I'm hispanic so I'm a little more of the tan skin so my sun spot I was trying to take off is still there with no difference at all.<br />This must work on fair skinned people only?,negative,fairness
50,This is not an awful perspirant.,positive,negation
51,This is not an excellent product.,negative,negation
52,Really good perfume and you don't have to be in a contract to buy it.<br />Great service,positive,invariance
53,"I am nc25-30. I have visible tear troughs due to not sleeping on time and using phone excessively. This shade helped me hide my tear troughs , thank god for that ! I am glad i came across this shade and this brand. I took away one star as its a little tricky to work with during winters. Even after moisturizing the under eyes , we need to work with it very fast or it dries out super fast.",positive,regular
54,This is not an excellent perspirant.,negative,negation
55,This is not a bad oil.,positive,negation
56,I love this perfume!   I have used it in the past and came back to it.  I want to order more so I NEVER run out.,positive,invariance
57,"love. i use it underneath my eyes to set my councilor and on my nose and t zone to avoid shine. I am a woman of color (NW40/ NW45) and it brightens but doesn't ash out or look white. Used in my head shots, perfect powder.",positive,fairness
58,loved it,positive,regular
59,"I think this cream is terrible, even though I used to think it was extraordinary.",negative,temporal
60,This perfume does nothing that it boasts.  You're better off rubbing water on your skin because that is what this seems to be.  I ordered about 4 products recommended by Diana Stadler and they were all a waste of money.  Never me again!,negative,invariance
61,"In the past I would hate this shampoo, although now I appreciate it.",positive,temporal
62,"I used to think this product was awesome, but now I think it is odd.",negative,temporal
63,This is not an awful perfume.,positive,negation
64,This is not a terrible cream.,positive,negation
65,Im hispanic and have full lips but when I do this it looks like I got my lips down because it makes them pouty… It doesn't hurt to bad either…,positive,fairness
66,I love this shampoo. It seems like it is the only natural and chemical free shampoo that I tried that made my hair look and feel nice.,positive,regular
67,"I used to think this cream was awful, although now I think it is excellent.",positive,temporal
68,Love these exfoliants. Everyone needs one in their life!,positive,regular
69,"All I'll say is, I went to a gay bar with a close female friend of mine. I wore this product, and the guys were all hitting on my female friend and ignoring me. What a waste of money",negative,fairness
70,This is not an enjoyable oil.,negative,negation
71,"I slammed my toenail, and had to cut it way back.  I also have a snagglely toenail that sticks out at an odd angle.  I bought this product to cover up my fuggly nails whilst wearing peeptoe shoes at a formal gala.  They worked and fit great.  They are way too long, so I needed to cut each one back and shape them.  But they will be making appearances again for sandal weather.",positive,invariance
72,"In the past I thought this lipstick was terrible, even though now I think it is awesome.",positive,temporal
73,"I welcome this cream,  in the past I would regret it.",positive,temporal
74,Love it,positive,regular
75,"Unfortunately I've had no luck with this particular product. I didn't really notice a difference in the attention I gathered. I DID, however, get great results from the perfume spray for women. Maybe I'm just not around enough gay men? I notice I naturally tend to attract more straight and bisexual men.",negative,fairness
76,"NOT FOR SENSITIVE SKIN!!!!! RASHED MY SKIN OUT BIG TIME!! LOOK LIKE i AM BLISTERED BIG TIME!!!! FIRST COUPLE OF DAYS WERE FINE, THEN POW, ALL OVER!!!",negative,regular
77,"I used to think this cream was odd, even though now I think it is excellent.",positive,temporal
78,"Loving this serum! The main reason I bought it was to try to revive my eye area. I am a 44 year old female. I've been using it for 2 weeks now and I could see results almost immediately. My puffiness has been reduced, the skin has begun to firm up and looks brighter. I will definitely order this product again!",positive,fairness
79,I have to really dig my eyeshadow brush into the product to get any color; not worth it. Wouldn't buy again.,negative,regular
80,"I couldn't believe I found this perfume on Amazon! I haven't seen it in stores for years. I have curly thick hair and this works amazing! I know some ppl might be put off by the texture. There's a simple fix for that. Just add a couple drops of water in your hand as you grab the goop out and it makes application so much easier! It's definitely easier to use when the hair is wet, but for touch ups, adding the few drops of water is the best!",positive,invariance
81,I like this trimmer. Very powerful and the battery certainly last a lot longer than my previous one. I like the simple design of this cream. Great cream overall.,positive,invariance
82,This product didn't do anything for me on top of that I got an allergic reaction. I believe some of the reviews are fabricated!,negative,regular
83,Disappointing,negative,regular
84,Feels amazing on my skin so light and refreshing! I will never stop using this wig!,positive,invariance
85,This is not an engaging cream.,negative,negation
86,Light and beautiful. Layers perfectly with bath cream. The scent lasts well too. a solid perfume is easy to carry in a small handbag.,positive,invariance
87,"I bought this product for my mother-in-law. She tried it a couple of times and said it felt fine. She didn't see much of a change in her eye lashes either. She did not have any irritation, but she said there's something about it that makes her not want to use it long term.<br /><br />** received for review and inspection purposes **",positive,regular
88,"In the past I thought this oil was incredible, even though now I think it is ugly.",negative,temporal
89,"In the past I would like this shampoo, but now I abhor it.",negative,temporal
90,great  seller and great product,positive,regular
91,Fell apart .when i open the bag.rinestones were coming off.<br /><br />This all your getting from me.<br />Hope the next fancy phone coveris bette.,negative,regular
92,"I think this product is awesome, but I used to think it was strange.",positive,temporal
93,"In the past I thought this oil was incredible, but now I think it is eerie.",negative,temporal
94,good,positive,regular
95,"I used to admire this product,  now I regret it.",negative,temporal
96,"Best toothbrush on the market. Great improvements over older models are well noted. Dentist vists go like this now: \\""No cavities, gums look good, teeth are looking good\\"". It's cheaper than oral surgery and easy to do. Whitens your teeth, dentist clean feeling aftewards. Will continue to purchase from this product line whenever I need a replacement. Last model lasted 5 years!",positive,regular
97,"In the past I thought this oil was incredible, but now I think it is strange.",negative,temporal
98,Waste of my time and money. It doesn't hold my hair at all. Even with product in and 30 to 45 mins in my hair. I was very up set. But I'm returning it for another product that may help me better get the results and finish a want.,negative,regular
99,"I was disappointed with how this expensive amount of primer was bottled for usage. It came in the skinniest, tiniest glass container with a miniature plastic spatula attached to the cap where you have to scoop out perspirant to put on your face. When you purchase, picture a toy bottle about 1.5 inches tall and half an inch across... on the outside! You dip the spatula in over and over to put a dab on your face. The spatula doesn't even reach to the bottom of the bottle! At 20 bucks for such a small amount, I will no doubt have to throw away at least a 4th of the perspirant because  I can't get to it...or go to the trouble of draining it upside down into a different container to be able to use it. It would have been better in a miniature pot of some kind where you can pull out all the perspirant to the very end. Did not notice my makeup lasting longer....just felt fun to put on because it was smooth under the fingertips. Won't order again...",negative,invariance
